Name,Amount,Unit Cost,Unit Size,Total,
3.3v Zener Diode,1,7.32,100,7.32,https://www.aliexpress.us/item/3256808371046120.html?spm=a2g0o.cart.0.0.245038da689G6A&mp=1&pdp_npi=5%40dis%21USD%21USD%207.32%21USD%203.44%21%21USD%203.44%21%21%21%402101246417638795000551684e0e4a%2112000046206595741%21ct%21US%216187826129%21%211%210&_gl=1*vm0v7j*_gcl_aw*R0NMLjE3NjM1MjgyMzUuQ2p3S0NBaUF6X0RJQmhCSkVpd0FWSDJYd0g4dmpCN0JoZHZCOXhSSXdTRFVXaE5KcWlkRklSaW0wZndmTEtuQU8tSjYwalhYeFVIa3Zob0NLT0VRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjM1MjgyMzUuQ2p3S0NBaUF6X0RJQmhCSkVpd0FWSDJYd0g4dmpCN0JoZHZCOXhSSXdTRFVXaE5KcWlkRklSaW0wZndmTEtuQU8tSjYwalhYeFVIa3Zob0NLT0VRQXZEX0J3RQ..*_gcl_au*MTUyNzUyMDgzOS4xNzU3ODgxNTQ1*_ga*MjEzNTUyNTk1My4xNzYzODc4NzU4*_ga_VED1YSGNC7*czE3NjM4Nzg3NTckbzEkZzEkdDE3NjM4Nzk1NDckajQkbDAkaDA.&gatewayAdapt=glo2usa
SMD Capacitor 10uf 0805,2,4.07,50,4.07,https://www.aliexpress.us/item/3256805961758623.html?spm=a2g0o.cart.0.0.245038da689G6A&mp=1&pdp_npi=5%40dis%21USD%21USD%204.07%21USD%204.07%21%21USD%204.07%21%21%21%402101246417638795000551684e0e4a%2112000035978406773%21ct%21US%216187826129%21%211%210&_gl=1*1x7cf05*_gcl_aw*R0NMLjE3NjM1MjgyMzUuQ2p3S0NBaUF6X0RJQmhCSkVpd0FWSDJYd0g4dmpCN0JoZHZCOXhSSXdTRFVXaE5KcWlkRklSaW0wZndmTEtuQU8tSjYwalhYeFVIa3Zob0NLT0VRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjM1MjgyMzUuQ2p3S0NBaUF6X0RJQmhCSkVpd0FWSDJYd0g4dmpCN0JoZHZCOXhSSXdTRFVXaE5KcWlkRklSaW0wZndmTEtuQU8tSjYwalhYeFVIa3Zob0NLT0VRQXZEX0J3RQ..*_gcl_au*MTUyNzUyMDgzOS4xNzU3ODgxNTQ1*_ga*MjEzNTUyNTk1My4xNzYzODc4NzU4*_ga_VED1YSGNC7*czE3NjM4Nzg3NTckbzEkZzEkdDE3NjM4Nzk1ODQkajU4JGwwJGgw&gatewayAdapt=glo2usa
Header 1x3 M,18,1.52,50,1.52,https://www.aliexpress.us/item/2255800801798474.html?spm=a2g0o.cart.0.0.245038da689G6A&mp=1&pdp_npi=5%40dis%21USD%21USD%201.52%21USD%201.46%21%21USD%201.46%21%21%21%402101246417638795000551684e0e4a%2110000013202368849%21ct%21US%216187826129%21%211%210&_gl=1*1e6u7cw*_gcl_aw*R0NMLjE3NjM1MjgyMzUuQ2p3S0NBaUF6X0RJQmhCSkVpd0FWSDJYd0g4dmpCN0JoZHZCOXhSSXdTRFVXaE5KcWlkRklSaW0wZndmTEtuQU8tSjYwalhYeFVIa3Zob0NLT0VRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjM1MjgyMzUuQ2p3S0NBaUF6X0RJQmhCSkVpd0FWSDJYd0g4dmpCN0JoZHZCOXhSSXdTRFVXaE5KcWlkRklSaW0wZndmTEtuQU8tSjYwalhYeFVIa3Zob0NLT0VRQXZEX0J3RQ..*_gcl_au*MTUyNzUyMDgzOS4xNzU3ODgxNTQ1*_ga*MjEzNTUyNTk1My4xNzYzODc4NzU4*_ga_VED1YSGNC7*czE3NjM4Nzg3NTckbzEkZzEkdDE3NjM4Nzk1OTQkajQ4JGwwJGgw&gatewayAdapt=glo2usa
Header 1x5 F,9,2.3,10,2.3,https://www.aliexpress.us/item/3256806900911916.html?spm=a2g0o.productlist.main.5.71fb2f22qT2TfT&algo_pvid=0206290d-c88c-42cf-abfe-fdd7c5e901d0&algo_exp_id=0206290d-c88c-42cf-abfe-fdd7c5e901d0-4&pdp_ext_f=%7B%22order%22%3A%2264%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.43%212.36%21%21%212.43%212.36%21%402101584917638795330212222e3f9b%2112000039356725808%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=B8ohox05ejb8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007087226668%7C_p_origin_prod%3A
SMD LED,20,0.354,1,7.08,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/VLMR233T2V2-GS08/3025490
SMD Resistor 510ohm 0805,19,1.1,100,1.1,https://www.aliexpress.us/item/3256804579227354.html?spm=a2g0o.productlist.main.3.60106cf0fgaBdG&algo_pvid=d75aea1c-7e41-4d40-ae2a-47ae5658f480&algo_exp_id=d75aea1c-7e41-4d40-ae2a-47ae5658f480-2&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.10%211.02%21%21%211.10%211.02%21%402140c1e917638798918441521ec5ce%2112000030388976233%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=uxIWY6qmpv79&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004765542106%7C_p_origin_prod%3A
Servo Motors,18,36.58,4,182.9,https://www.aliexpress.us/item/3256806709778108.html?spm=a2g0o.productlist.0.0.6ab56e340EHKOL&mp=1&pdp_npi=5%40dis%21USD%21USD%20130.38%21USD%2036.58%21%21USD%2036.58%21%21%21%402101062a17638804388948845ec99e%2112000038822514200%21ct%21US%216187826129%21%215%210&_gl=1*cljtcb*_gcl_aw*R0NMLjE3NjM4ODA2ODUuQ2p3S0NBaUEyNFhKQmhCWEVpd0FYRWxPM3liRHZJN1I1VnFod2RBbzJuRGJ3RkJwVWkxX3hRbkJBY2NBVHdfak5hWElKU20wNVJjNTJCb0NjTndRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjM4ODA2ODUuQ2p3S0NBaUEyNFhKQmhCWEVpd0FYRWxPM3liRHZJN1I1VnFod2RBbzJuRGJ3RkJwVWkxX3hRbkJBY2NBVHdfak5hWElKU20wNVJjNTJCb0NjTndRQXZEX0J3RQ..*_gcl_au*MTUyNzUyMDgzOS4xNzU3ODgxNTQ1*_ga*MjEzNTUyNTk1My4xNzYzODc4NzU4*_ga_VED1YSGNC7*czE3NjM4Nzg3NTckbzEkZzEkdDE3NjM4ODA5MzQkajYwJGwwJGgw&gatewayAdapt=glo2usa
Li-Fe Battery 6.6v 3000mah,2,19.32,1,38.64,https://www.aliexpress.us/item/3256807464251198.html?src=google&pdp_npi=4%40dis%21USD%2111.90%218.33%21%21%21%21%21%40%2112000041655129505%21ppc%21%21%21&src=google&albch=shopping&acnt=231-612-1468&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256807464251198&ds_e_product_merchant_id=101200748&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22977867118&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22973747411&gbraid=0AAAABBR8kP1DsTtj-qFVjDN4WDyziy5WL&gclid=CjwKCAiA24XJBhBXEiwAXElO3ybDvI7R5VqhwdAo2nDbwFBpUi1_xQnBAccATw_jNaXIJSm05Rc52BoCcNwQAvD_BwE&gatewayAdapt=glo2usa
T-Plug M,2,1.67,1,3.34,https://www.aliexpress.us/item/3256806654144826.html?spm=a2g0o.productlist.main.49.1f564137Zumm2e&algo_pvid=f02dfe0a-6ee5-49a2-bcfe-484b81d72b31&algo_exp_id=f02dfe0a-6ee5-49a2-bcfe-484b81d72b31-48&pdp_ext_f=%7B%22order%22%3A%22664%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.67%211.66%21%21%2111.83%2111.76%21%402101584917638809771278651e3f6e%2112000038478342073%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895%3BpisId%3A5000000193062241&curPageLogUid=EVB9s7sE3451&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006840459578%7C_p_origin_prod%3A
Metal Horn,18,9.99,15,19.98,https://www.amazon.com/Comimark-15Pcs-Metal-Disc-Arm25T-MG996R-RoWTUS/dp/B0855Q36Q3
